thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,height,weight,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction,cgpa,Varsity
Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Often,Often,Often,Often,Often,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Very Often,Often,63,53,Sometimes,Very Often,Rarely,2.00-2.50,AIUB
Rarely,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Very Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very Often,68,66,Often,Sometimes,Often,3.50-4.00,AIUB
Often,Sometimes,Somtimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,67,49,Rarely,Sometimes,Rarely,2.50-3.00,AIUB
Often,Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,69,89,Sometimes,Often,Rarely,2.00-2.50,AIUB
Never,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,66,67,Never,Rarely,Often,2.50-3.00,AIUB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,62,55,Often,Rarely,Sometimes,2.50-3.00,AIUB
Often,Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Often,Often,Very Often,Very Often,66,80,Rarely,Often,Rarely,1.50-2.00,AIUB
Never,Never,Never,Never,Never,Very Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,67,52,Sometimes,Never,Often,3.00-3.50,AIUB
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,60,60,Rarely,Never,Never,3.00-3.50,AIUB
Never,Never,Never,Never,Never,Often,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60,64,Sometimes,Never,Sometimes,3.00-3.50,AIUB
Often,Often,Somtimes,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Often,Often,Very Often,69,80,Rarely,Very Often,Rarely,1.50-2.00,AIUB
Often,Often,Somtimes,Sometimes,Often,Very Often,Often,Very Often,Very Often,Often,Sometimes,Often,Often,Often,Very Often,Often,Often,Very Often,Often,Sometimes,Often,Often,Often,Very Often,61,45,Rarely,Sometimes,Rarely,1.50-2.00,AIUB
Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Rarely,Rarely,Often,Never,Rarely,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,61,50,Often,Sometimes,Often,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,55,56,Sometimes,Never,Rarely,2.50-3.00,AIUB
Very Often,Often,Very Often,Often,Very Often,Often,Often,Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,66,68,Sometimes,Sometimes,Rarely,2.50-3.00,AIUB
Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,Never,66,67,Rarely,Never,Rarely,2.00-2.50,AIUB
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,68,82,Sometimes,Rarely,Very Often,3.00-3.50,AIUB
Rarely,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Rarely,Sometimes,Somtimes,Sometimes,Never,Rarely,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,57,65,Rarely,Rarely,Rarely,3.00-3.50,AIUB
Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Rarely,Rarely,Rarely,Rarely,Very Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Never,Rarely,Somtimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,65,70,Sometimes,Sometimes,Often,3.00-3.50,AIUB
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,60,91,Never,Often,Never,3.00-3.50,AIUB
