thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,height,weight,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction,cgpa,Varsity
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometime,Often,Very Often,Often,Sometimes,Often,Sometimes,Often,Often,65,75,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
Sometimes,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Often,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Often,64,71,Rarely,Sometimes,Sometimes,2.50-3.00,ULAB
Very Often,Very Often,Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Sometime,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Very Often,62,76,Never,Often,Rarely,2.00-2.50,ULAB
Sometimes,Often,Somtimes,Very Often,Sometimes,Often,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Sometimes,66,68,Sometimes,Rarely,Sometimes,2.50-3.00,ULAB
Often,Sometimes,Somtimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Sometimes,Often,Rarely,Often,Sometimes,67,79,Rarely,Sometimes,Rarely,2.50-3.00,ULAB
Often,Very Often,Somtimes,Often,Sometimes,Often,Very Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Very Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,68,82,Sometimes,Sometimes,Sometimes,2.50-3.00,ULAB
Often,Often,Somtimes,Often,Often,Often,Often,Very Often,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Very Often,Very Often,Often,Sometimes,Very Often,Often,63,65,Never,Often,Sometimes,2.00-2.50,ULAB
Often,Very Often,Somtimes,Often,Very Often,Sometimes,Very Often,Very Often,Very Often,Often,Very Often,Sometimes,Sometimes,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Very Often,Often,64,73,Sometimes,Often,Sometimes,2.00-2.50,ULAB
Very Often,Very Often,Somtimes,Often,Very Often,Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Often,Sometimes,Often,Very Often,Often,62,68,Sometimes,Sometimes,Sometimes,2.00-2.50,ULAB
Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,64,70,Sometimes,Rarely,Sometimes,2.50-3.00,ULAB
Often,Often,Somtimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometime,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,65,76,Sometimes,Sometimes,Sometimes,2.50-3.00,ULAB
Very Often,Often,Often,Very Often,Often,Often,Very Often,Very Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometime,Often,Very Often,Very Often,Often,Very Often,Sometimes,Often,Very Often,63,75,Rarely,Often,Sometimes,2.00-2.50,ULAB
Very Often,Very Often,Somtimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Often,Often,Sometimes,Often,Often,67,84,Rarely,Sometimes,Sometimes,2.00-2.50,ULAB
Very Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Often,Sometimes,Often,Often,Sometimes,Very Often,Sometimes,Sometime,Often,Very Often,Very Often,Often,Often,Sometimes,Very Often,Very Often,66,76,Rarely,Sometimes,Sometimes,2.00-2.50,ULAB
Often,Very Often,Somtimes,Sometimes,Often,Never,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Rarely,Sometimes,Very Often,Very Often,Often,Very Often,Often,Very Often,Often,61,75,Never,Often,Rarely,2.00-2.50,BRAC
Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,63,55,Rarely,Rarely,Sometimes,2.50-3.00,BRAC
Sometimes,Often,Somtimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Often,Often,Sometimes,Very Often,Often,57,68,Rarely,Often,Never,3.00-3.50,BRAC
Sometimes,Sometimes,Somtimes,Never,Rarely,Sometimes,Often,Often,Often,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes,Rarely,67,68,Rarely,Rarely,Sometimes,3.00-3.50,BRAC
Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,66,56,Rarely,Sometimes,Rarely,3.00-3.50,BRAC
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Rarely,Often,Often,Never,Rarely,Rarely,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,65,78,Rarely,Rarely,Sometimes,2.50-3.00,BRAC
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,63,65,Sometimes,Rarely,Sometimes,2.50-3.00,BRAC
Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Often,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,68,69,Sometimes,Often,Sometimes,2.00-2.50,BRAC
Rarely,Never,Often,Often,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Sometimes,63,77,Rarely,Rarely,Rarely,2.00-2.50,BRAC
Sometimes,Sometimes,Never,Rarely,Often,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Rarely,72,66,Rarely,Rarely,Rarely,2.00-2.50,BRAC
Sometimes,Sometimes,Rarely,Often,Often,Often,Rarely,Often,Rarely,Often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,72,56,Often,Rarely,Sometimes,2.50-3.00,BRAC
Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Never,Never,Often,Rarely,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Rarely,Often,Never,Rarely,66,66,Rarely,Often,Often,2.50-3.00,BRAC
Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,Sometimes,72,66,Never,Never,Sometimes,2.00-2.50,BRAC
Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Rarely,Sometimes,Often,Never,Never,Sometimes,60,54,Sometimes,Rarely,Sometimes,2.50-3.00,BRAC
Sometimes,Sometimes,Somtimes,Sometimes,Often,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Often,Never,59,60,Often,Rarely,Often,2.50-3.00,BRAC
Rarely,Sometimes,Somtimes,Often,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Often,Sometimes,Often,Rarely,71,80,Sometimes,Rarely,Sometimes,3.00-3.50,BRAC
Never,Rarely,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,74,82,Sometimes,Rarely,Very Often,3.00-3.50,BRAC
Rarely,Rarely,Somtimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,72,79,Never,Rarely,Often,3.50-4.00,BRAC
Rarely,Rarely,Rarely,Rarely,Rarely,Very Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Never,60,67,Never,Never,Sometimes,3.00-3.50,BRAC
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Never,Very Often,Often,Often,Sometimes,Often,Sometimes,Often,62,75,Sometimes,Often,Sometimes,3.00-3.50,BRAC
Often,Very Often,Somtimes,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very Often,Sometimes,Sometimes,Rarely,Often,Very Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,64,65,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Very Often,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Very Often,Very Often,68,82,Rarely,Sometimes,Often,2.00-2.50,BRAC
Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Often,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,67,67,Rarely,Rarely,Very Often,2.50-3.00,BRAC
Sometimes,Very Often,Often,Very Often,Often,Sometimes,Often,Very Often,Often,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Very Often,Very Often,69,73,Never,Sometimes,Rarely,2.00-2.50,BRAC
Very Often,Sometimes,Often,Often,Rarely,Rarely,Never,Never,Very Often,Often,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Often,Rarely,Often,Often,Rarely,Very Often,Sometimes,66,68,Often,Sometimes,Rarely,1.50-2.00,BRAC
Sometimes,Sometimes,Often,Often,Often,Often,Often,Very Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,BRAC
Sometimes,Sometimes,Somtimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Often,Often,Often,Often,Very Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,BRAC
Often,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Often,Often,Very Often,Sometimes,Rarely,Often,Very Often,Often,Often,Very Often,Sometimes,Very Often,Very Often,66,74,Rarely,Often,Rarely,2.50-3.00,BRAC
Very Often,Very Often,Often,Sometimes,Sometimes,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometime,Often,Very Often,Often,Often,Very Often,Sometimes,Very Often,Very Often,61,78,Never,Often,Rarely,2.00-2.50,BRAC
Sometimes,Often,Somtimes,Often,Sometimes,Sometimes,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Very Often,Often,Often,Often,Rarely,Often,Very Often,62,70,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometime,Sometimes,Often,Often,Sometimes,Often,Often,Often,Often,62,60,Often,Sometimes,Often,2.50-3.00,BRAC
Sometimes,Often,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Very Often,Often,Often,66,58,Often,Often,Sometimes,2.50-3.00,BRAC
Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Sometimes,Very Often,Very Often,Often,Sometimes,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,68,50,Often,Sometimes,Very Often,1.50-2.00,BRAC
Often,Sometimes,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Sometime,Very Often,Often,Very Often,Sometimes,Often,Often,Sometimes,Often,65,98,Often,Sometimes,Sometimes,3.50-4.00,BRAC
Sometimes,Sometimes,Often,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Often,Sometimes,Sometime,Often,Very Often,Often,Often,Sometimes,Very Often,Often,Sometimes,65,67,Often,Very Often,Often,3.50-4.00,BRAC
Often,Very Often,Very Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Very Often,Often,Sometimes,Very Often,Sometimes,Often,Often,Sometimes,Sometimes,63,53,Often,Very Often,Very Often,3.00-3.50,BRAC
Often,Sometimes,Very Often,Very Often,Often,Sometimes,Very Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,72,87,Sometimes,Often,Sometimes,2.00-2.50,BRAC
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,67,72,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,68,75,Rarely,Sometimes,Rarely,3.00-3.50,BRAC
Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,67,60,Never,Sometimes,Sometimes,2.50-3.00,BRAC
Often,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,68,62,Rarely,Sometimes,Rarely,3.00-3.50,BRAC
Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,69,75,Often,Rarely,Often,2.50-3.00,BRAC
Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometime,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,68,76,Rarely,Rarely,Sometimes,3.00-3.50,BRAC
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,66,62,Sometimes,Rarely,Never,2.50-3.00,BRAC
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Never,67,55,Sometimes,Rarely,Rarely,3.00-3.50,BRAC
Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,64,64,Often,Never,Often,3.00-3.50,BRAC
Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,69,81,Often,Never,Never,3.00-3.50,BRAC
Rarely,Often,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometime,Often,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Sometimes,67,72,Often,Sometimes,Sometimes,2.50-3.00,BRAC
Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,66,69,Sometimes,Rarely,Sometimes,3.00-3.50,BRAC
Often,Sometimes,Somtimes,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,66,51,Sometimes,Rarely,Sometimes,3.00-3.50,BRAC
Never,Sometimes,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,67,66,Sometimes,Rarely,Sometimes,3.00-3.50,BRAC
Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,64,54,Sometimes,Never,Rarely,3.00-3.50,BRAC
Sometimes,Rarely,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,67,72,Never,Rarely,Sometimes,2.50-3.00,BRAC
Rarely,Rarely,Somtimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,67,83,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Rarely,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,67,78,Never,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,64,63,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,69,78,Sometimes,Rarely,Sometimes,2.50-3.00,BRAC
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,67,68,Sometimes,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Often,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,63,54,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,65,57,Sometimes,Rarely,Rarely,3.00-3.50,BRAC
Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,67,72,Rarely,Rarely,Sometimes,2.50-3.00,BRAC
Sometimes,Rarely,Somtimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,68,73,Never,Sometimes,Rarely,2.50-3.00,BRAC
Often,Often,Somtimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,66,62,Never,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Sometimes,Somtimes,Rarely,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,66,66,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Often,Often,Rarely,Often,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,65,67,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Sometimes,Somtimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,63,59,Never,Rarely,Rarely,2.50-3.00,BRAC
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,67,62,Rarely,Rarely,Rarely,2.50-3.00,BRAC
Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,66,66,Never,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,69,72,Never,Rarely,Rarely,3.00-3.50,BRAC
Sometimes,Rarely,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,Rarely,Never,68,77,Never,Rarely,Rarely,2.50-3.00,BRAC
Sometimes,Rarely,Somtimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,65,57,Never,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,66,53,Rarely,Rarely,Rarely,3.00-3.50,BRAC
Sometimes,Often,Somtimes,Sometimes,Sometimes,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Often,Sometime,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,60,75,Rarely,Often,Rarely,2.00-2.50,BRAC
Rarely,Sometimes,Somtimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,67,76,Never,Rarely,Rarely,2.50-3.00,BRAC
Rarely,Sometimes,Somtimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometime,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,66,63,Rarely,Sometimes,Rarely,3.00-3.50,BRAC
Sometimes,Often,Somtimes,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometime,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,68,65,Rarely,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,66,63,Sometimes,Sometimes,Rarely,2.50-3.00,BRAC
Sometimes,Often,Somtimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,67,68,Never,Rarely,Rarely,2.50-3.00,BRAC
Often,Often,Somtimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,69,57,Never,Sometimes,Rarely,2.50-3.00,BRAC
